,name,level,record_longest_win_streak,losses,total_games_played,win_loss_ratio,games_played,deaths,wins,kd_ratio,suicides,kills,assists,record_kill_streak
156,Vaabelz,829.0,33.0,476.0,9240.0,0.569327712059021,9240.0,26555.0,271.0,1.654980182647705,3099.0,43948.0,9949.0,11.0
157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,iCrankedX,8.0,18.0,607.0,8345.0,0.17957165837287903,8345.0,22039.0,109.0,1.833976149559021,981.0,40419.0,7486.0,12.0
161,snake2conqueror,588.0,57.0,1099.0,10534.0,0.6542311310768127,10534.0,38435.0,719.0,2.3205671310424805,5716.0,89191.0,18701.0,40.0
162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
164,drwn21,250.0,35.0,954.0,6137.0,0.4318658411502838,6137.0,24223.0,412.0,1.4314494132995605,6768.0,34674.0,8731.0,13.0
165,maggi_mix88,713.0,45.0,1515.0,12855.0,1.033003330230713,12855.0,50947.0,1565.0,1.746874213218689,32748.0,88998.0,15340.0,17.0
166,DREAMbordeaux,494.0,25.0,1820.0,14209.0,0.8895604610443115,14209.0,80630.0,1619.0,1.6384347677230835,9049.0,132107.0,19089.0,33.0
167,Breguuu,497.0,47.0,1627.0,13729.0,0.29625076055526733,13729.0,55561.0,482.0,1.2938752174377441,17508.0,71889.0,13367.0,14.0
168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
170,CallMeSnowyyYT_G,97.0,28.0,690.0,11083.0,0.3797101378440857,11083.0,28283.0,262.0,2.320758104324341,3794.0,65638.0,8491.0,28.0
171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
172,jordro1213,837.0,40.0,244.0,13031.0,0.06147541105747223,13031.0,30896.0,15.0,1.8798550367355347,8539.0,58080.0,11630.0,6.0
173,TommyGun392,756.0,34.0,2335.0,13199.0,0.9434689283370972,13199.0,82422.0,2203.0,1.4343864917755127,9364.0,118225.0,18296.0,21.0
174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
