,name,level,record_longest_win_streak,losses,win_loss_ratio,games_played,deaths,wins,kd_ratio,suicides,kills,assists,record_kill_streak,kills_assists,deaths/match_ratio,suicides/match_ratio,killed_by_enemies,kills/match_ratio
34,C-dog_63,278.0,9.0,753.0,0.0903054475784301,10684.0,26545.0,68.0,0.9282727241516112,984.0,24641.0,6099.0,11.0,30740.0,2.484556345937851,0.09210033695245226,25561.0,2.3063459378509923
38,WreckdumPuncher,493.0,84.0,2171.0,1.0207277536392212,16927.0,129673.0,2216.0,1.0987098217010498,27514.0,142473.0,35910.0,18.0,178383.0,7.6607195604655285,1.6254504637561293,102159.0,8.416907898623501
39,UnKnOwN-jente,101.0,48.0,770.0,1.184415578842163,4284.0,21043.0,912.0,1.272442102432251,573.0,26776.0,4743.0,38.0,31519.0,4.911998132586368,0.13375350140056022,20470.0,6.250233426704015
40,hdygang,53.0,19.0,862.0,1.281902551651001,3608.0,41363.0,1105.0,1.108962059020996,561.0,45870.0,7532.0,22.0,53402.0,11.464246119733925,0.15548780487804878,40802.0,12.713414634146341
42,bigdaddymaples,262.0,22.0,1075.0,0.5627906918525696,7912.0,36625.0,605.0,1.0195767879486084,701.0,37342.0,12052.0,17.0,49394.0,4.629044489383215,0.08859959555106167,35924.0,4.719666329625885
46,Cowboybebop973,597.0,34.0,1650.0,0.4648484885692596,17793.0,75873.0,767.0,1.312232255935669,30767.0,99563.0,21659.0,18.0,121222.0,4.264205024447817,1.7291631540493453,45106.0,5.595627493958299
47,Marry1996CZ,546.0,12.0,1820.0,0.797802209854126,15034.0,111222.0,1452.0,0.9792936444282532,13128.0,108919.0,16798.0,23.0,125717.0,7.398031129439937,0.8732206997472396,98094.0,7.2448450179592925
48,YorkshireDel,657.0,11.0,311.0,0.2315112501382827,10626.0,27870.0,72.0,0.8180839419364929,7224.0,22800.0,10329.0,8.0,33129.0,2.6228119706380575,0.6798418972332015,20646.0,2.145680406549972
54,PlMP-VAL-89,822.0,78.0,622.0,0.2443729937076568,16458.0,42156.0,152.0,1.512928128242493,39190.0,63779.0,18820.0,15.0,82599.0,2.5614290922347793,2.381212784056386,2966.0,3.875258233078138
56,OD_MuddySprite,1000.0,30.0,610.0,0.477049171924591,18623.0,55766.0,291.0,0.9228382706642152,1402.0,51463.0,21107.0,11.0,72570.0,2.9944692047468187,0.0752832518928207,54364.0,2.763410836062933
57,cric913ew,240.0,11.0,1686.0,0.6791222095489502,11068.0,94163.0,1145.0,1.132875919342041,9331.0,106675.0,26675.0,26.0,133350.0,8.507679797614745,0.8430610769786773,84832.0,9.63814600650524
60,DEREGIL04,431.0,9.0,693.0,0.5382395386695862,7236.0,30677.0,373.0,1.1716269254684448,4407.0,35942.0,9779.0,12.0,45721.0,4.239496959646213,0.6090381426202321,26270.0,4.967108899944721
63,Hdog524,401.0,19.0,1641.0,0.7678244709968567,8250.0,62840.0,1260.0,1.0514799356460571,3571.0,66075.0,16880.0,16.0,82955.0,7.616969696969697,0.43284848484848487,59269.0,8.00909090909091
68,ABOrAg24,452.0,14.0,0.0,0.0,8766.0,19243.0,0.0,0.8860884308815002,7698.0,17051.0,7687.0,0.0,24738.0,2.1951859456992926,0.8781656399726215,11545.0,1.9451289071412274
75,Juliiixa,314.0,4.0,45.0,0.5777778029441833,5362.0,11593.0,26.0,0.7301819920539856,357.0,8465.0,2180.0,8.0,10645.0,2.162066393136889,0.06657963446475196,11236.0,1.5787019768743007
78,Pawlucky,322.0,17.0,2.0,1.5,6552.0,19688.0,3.0,0.7634599804878235,3929.0,15031.0,5092.0,3.0,20123.0,3.004884004884005,0.5996642246642246,15759.0,2.294108669108669
81,GRW_TOP-GUN,229.0,20.0,334.0,0.9940119981765748,4616.0,29695.0,332.0,1.104832410812378,6386.0,32808.0,7147.0,20.0,39955.0,6.433058925476603,1.3834488734835355,23309.0,7.107452339688042
83,ChristianR1213,458.0,56.0,311.0,0.672025740146637,12499.0,58808.0,209.0,1.039467453956604,28533.0,61129.0,20117.0,11.0,81246.0,4.705016401312105,2.282822625810065,30275.0,4.890711256900552
84,itsLino45,374.0,21.0,1074.0,0.884543776512146,5723.0,42060.0,950.0,1.2825725078582764,4255.0,53945.0,10442.0,31.0,64387.0,7.349292329197973,0.7434911759566661,37805.0,9.426000349467063
88,BesttKeptSecret,587.0,41.0,705.0,1.2368794679641724,4765.0,26928.0,872.0,1.576203227043152,912.0,42444.0,6325.0,21.0,48769.0,5.651206715634838,0.19139559286463798,26016.0,8.907450157397692
95,LOST_Beniboy_XD,22.0,11.0,6.0,0.5,1974.0,7794.0,3.0,1.0782653093338013,463.0,8404.0,1856.0,6.0,10260.0,3.9483282674772036,0.23454913880445796,7331.0,4.257345491388045
96,Ghost_Balor1916,24.0,8.0,47.0,0.1489361673593521,1939.0,8156.0,7.0,0.931093692779541,320.0,7594.0,1668.0,10.0,9262.0,4.206291903042805,0.16503352243424446,7836.0,3.9164517792676636
97,ghost_danjel,1.0,19.0,24.0,0.5,974.0,3839.0,12.0,1.0359468460083008,191.0,3977.0,1062.0,14.0,5039.0,3.9414784394250515,0.19609856262833675,3648.0,4.083162217659138
98,AmirBacha19,1.0,8.0,15.0,2.0,381.0,2042.0,30.0,0.971106767654419,86.0,1983.0,348.0,7.0,2331.0,5.359580052493438,0.22572178477690288,1956.0,5.2047244094488185
99,IV_40_kirtap,24.0,9.0,12.0,0.9166666865348816,2882.0,12125.0,11.0,0.9903505444526672,422.0,12008.0,2428.0,9.0,14436.0,4.207147814018043,0.14642609299097847,11703.0,4.166551006245663
